LABELS
SEPARATOR COMMA
DATA
GCA_000224475.1,Halolamina sp000224475
GCA_000336895.1,Haloarcula argentinensis
GCA_000337115.1,Natrinema thermotolerans
GCA_000415965.1,Haloquadratum walsbyi_A
GCA_000415985.1,Haloquadratum walsbyi_B
GCA_000416005.1,Haloquadratum sp000416005
GCA_000416085.1,Halovenus sp000416085
GCA_000496195.1,A07HB70 sp000496195
GCA_000496215.1,Halonotius sp000496215
GCA_000496235.1,J07HR59 sp000496235
GCA_000690595.2,Natrinema mahii
GCA_001563795.1,Halohasta sp001563795
GCA_001563805.1,Natrarchaeobaculum sp001563805
GCA_001563885.1,Natrarchaeobaculum sp001563885
GCA_001563965.1,PL-Br10-E2g29 sp001563965
GCA_001564115.1,Tc-Br11-E2g8 sp001564115
GCA_001564135.1,Halovenus sp001564135
GCA_001564255.1,Tc-Br11-E2g1 sp001564255
GCA_001564275.1,Tc-Br11 sp001564275
GCA_002503845.1,UBA12382 sp002503845
GCA_003020925.1,Halomicroarcula sp003020925
GCA_003020945.1,Halobaculum sp003020945
GCA_003020985.1,Haloglomus sp003020985
GCA_003021015.1,Halovenus sp003021015
GCA_003021085.1,PXRE01 sp003021085
GCA_003021105.1,QS-1-68-17 sp003021105
GCA_003021175.1,Halosegnis sp003021175
GCA_003021305.1,QH-10-67-22 sp003021305
GCA_003021655.1,QS-4-69-31 sp003021655
GCA_003021685.1,Halomicrobium sp003021685
GCA_003021755.1,Halomicroarcula sp003021755
GCA_003021785.1,Halosegnis sp003021785
GCA_003021975.1,Halomarina sp003021975
GCA_003022005.1,QS-5-70-15 sp003022005
GCA_003022685.1,Halococcus sp003022685
GCA_003022725.1,Halovenus sp003022725
GCA_003022745.1,SW-9-67-25 sp003022745
GCA_003022845.1,Halovenus sp003022845
GCA_003022865.1,SW-7-71-33 sp003022865
GCA_003023165.1,Halosimplex sp003023165
GCA_003023185.1,Halosegnis sp003023185
GCA_003023195.1,SW-7-71-33 sp003023195
GCA_003023485.1,SW-9-67-25 sp003023485
GCA_003023565.1,Halostella sp003023565
GCA_003023785.1,QS-5-68-33 sp003023785
GCA_003298465.1,Haladaptatus sp003298465
GCA_003551265.1,Halovenus sp003551265
GCA_003551945.1,Halovenus sp003551945
GCA_003552325.1,Tc-Br11 sp003552325
GCA_003552885.1,Tc-Br11-E2g8 sp003552885
GCA_003554115.1,Halohasta sp003554115
GCA_003559215.1,Natronococcus sp003559215
GCA_003665935.1,Halobellus sp003665935
GCA_004015825.1,Halovenus sp004015825
GCA_005239175.1,Halalkalirubrum sp005239175
GCA_005239435.1,Halorussus sp005239435
GCA_005954745.1,Halostella pelagica
GCA_007118075.1,SKSH01 sp007118075
GCA_007118145.1,SKSH01 sp007118145
GCA_007118975.1,SKQO01 sp007118975
GCA_007119345.1,Halovivax sp007119345
GCA_007122455.1,Natronomonas sp007122455
GCA_007122875.1,QS-1-68-20 sp007122875
GCA_007123105.1,SKNY01 sp007123105
GCA_007128515.1,SKXI01 sp007128515
GCA_007129135.1,SKXI01 sp007129135
GCA_007135505.1,Halovivax sp007135505
GCA_009789175.1,Salinibaculum litoreum
GCA_009889625.1,UBA12382 sp009889625
GCA_009889685.1,UBA12382 sp009889685
GCA_017357105.2,Tc-Br11 sp017357105
GCA_018334775.1,Halodesulfurarchaeum sp018334775
GCA_018609935.1,JAHENH01 sp018609935
GCA_018609945.1,SW-9-67-25 sp018609945
GCA_022450005.1,UBA12382 sp022450005
GCA_022561895.1,Halalkalicoccus sp022561895
GCA_022869805.1,JALIQP01 sp022869805
GCA_024227995.1,Haladaptatus sp024227995
GCA_024228675.1,Salinigranum sp024228675
GCA_025041175.1,Halocatena sp025041175
GCA_025041195.1,Halocatena sp025041195
GCF_000011085.1,Haloarcula marismortui
GCF_000022205.1,Halorubrum lacusprofundi
GCF_000023945.1,Halorhabdus utahensis
GCF_000023965.1,Halomicrobium mukohataei
GCF_000025325.1,Haloterrigena turkmenica
GCF_000025625.1,Natrialba magadii
GCF_000025685.1,Haloferax volcanii
GCF_000026045.1,Natronomonas pharaonis
GCF_000172995.2,Halogeometricum borinquense
GCF_000196895.1,Halalkalicoccus jeotgali
GCF_000217715.1,Halopiger xanaduensis
GCF_000223905.1,Haloarcula hispanica
GCF_000226975.2,Halobiforma lacisalsi
GCF_000230715.2,Natronobacterium gregoryi
GCF_000230735.2,Natrinema pellirubrum
GCF_000230955.2,Halobacterium sp000230955
GCF_000237865.1,Haloquadratum walsbyi
GCF_000283335.1,Halogranum rubrum
GCF_000306765.2,Haloferax mediterranei
GCF_000328525.1,Halovivax ruber
GCF_000328685.1,Natronococcus occultus
GCF_000334895.1,Halococcus agarilyticus
GCF_000336675.1,Halococcus hamelinensis
GCF_000336695.1,Halococcus morrhuae
GCF_000336715.1,Halococcus thailandensis
GCF_000336775.1,Haloferax gibbonsii
GCF_000336815.1,Haloferax prahovense
GCF_000336915.1,Halococcus saccharolyticus
GCF_000336935.1,Halococcus salifodinae
GCF_000336955.1,Haloferax larsenii
GCF_000337075.1,Halorubrum hochstenium
GCF_000337095.1,Halogeometricum pallidum
GCF_000337135.1,Natrialba chahannaoensis
GCF_000337175.1,Natrinema gari
GCF_000337215.1,Natronolimnohabitans innermongolicus
GCF_000337335.1,Halorubrum distributum
GCF_000337455.1,Halosimplex carlsbadense
GCF_000337495.1,Haloterrigena salina
GCF_000337515.1,Halovivax asiaticus
GCF_000337535.1,Natrialba aegyptia
GCF_000337555.1,Natrialba asiatica
GCF_000337575.1,Natrialba hulunbeirensis
GCF_000337595.1,Natrialba taiwanensis
GCF_000337615.1,Natrinema pallidum
GCF_000337675.1,Natronococcus amylolyticus
GCF_000337695.1,Natronococcus jeotgali
GCF_000337735.1,Natronorubrum sulfidifaciens
GCF_000337775.1,Haloarcula vallismortis
GCF_000337835.1,Haloferax sulfurifontis
GCF_000337895.1,Halobiforma nitratireducens
GCF_000337915.1,Halorubrum saccharovorum
GCF_000376445.1,Haladaptatus paucihalophilus
GCF_000379085.1,Halomicrobium katesii
GCF_000383975.1,Natronorubrum tibetense
GCF_000403645.1,Salinarchaeum sp000403645
GCF_000427685.1,Haloplanus natans
GCF_000455345.1,Halopiger_A goleimassiliensis
GCF_000455365.1,Halopiger_B djelfimassiliensis
GCF_000470655.1,Halorhabdus tiamatea
GCF_000474235.1,Halarchaeum acidiphilum
GCF_000495475.1,Halobaculum tyrrellense
GCF_000517625.1,Halostagnicola larsenii
GCF_000591055.1,Natronomonas moolapensis
GCF_000691505.1,Halostagnicola sp000691505
GCF_000710615.1,Haladaptatus cibarius
GCF_000731985.1,Natrinema altunense
GCF_000739555.1,Halolamina rubra
GCF_000739575.1,Halobellus rufus
GCF_000755245.1,Halococcus sediminicola
GCF_001011115.1,Halanaeroarchaeum sulfurireducens
GCF_001280425.1,Haloarcula rubripromontorii
GCF_001282785.1,Halolamina sediminis
GCF_001307315.1,Halolamina pelagica_B
GCF_001368915.1,Haloferax massiliensis
GCF_001462205.1,Haloparvum sedimenti
GCF_001469875.2,Haloferax marisrubri
GCF_001469955.1,Haloprofundus marisrubri
GCF_001482285.1,Haloferax sp001482285
GCF_001485535.1,Halobacterium sp001485535
GCF_001485575.1,Haloarcula sp001485575
GCF_001488575.1,Halobacterium hubeiense
GCF_001593955.1,Halalkalicoccus paucihalophilus
GCF_001625445.1,Haladaptatus sp001625445
GCF_001861355.1,Natrialba sp001861355
GCF_001886955.1,Halodesulfurarchaeum formicicum
GCF_001971705.1,Natronorubrum daqingense
GCF_001989615.1,Halorientalis sp001989615
GCF_002025255.2,Halolamina sp002025255
GCF_002114285.1,Halorubrum ezzemoulense
GCF_002156705.1,Natrarchaeobaculum aegyptiacum
GCF_002177135.1,Natronolimnobius baerhuensis
GCF_002252755.1,Halorubrum sp002252755
GCF_002286985.1,Halorubrum salipaludis
GCF_002355635.1,Halopenitus persicus_A
GCF_002494345.1,Natrinema ejinorense
GCF_002844195.1,Halegenticoccus soli
GCF_002844335.1,Haloarcula taiwanensis
GCF_002906575.1,Salinigranum rubrum
GCF_002952775.1,Halalkaliarchaeum desulfuricum
GCF_003058365.1,Halococcoides cellulosivorans
GCF_003336245.1,Haloplanus salinus
GCF_003342675.1,Haloplanus rubicundus
GCF_003369835.1,Halorussus rarus
GCF_003430825.1,Natrarchaeobaculum sulfurireducens
GCF_003439925.1,Haloprofundus halophilus
