LABELS
SEPARATOR COMMA
DATA
GCA_000200715.1,Cenarchaeum symbiosum
GCA_000204585.1,Nitrosarchaeum limnae
GCA_000402075.1,Nitrosopelagicus sp000402075
GCA_000746765.1,Nitrosopumilus sp000746765
GCA_001437625.1,Nitrosopumilus sp001437625
GCA_001443365.1,CSP1-1 sp001443365
GCA_001627235.1,Nitrosopelagicus sp001627235
GCA_001917995.1,Nitrosotalea sp001917995
GCA_001920395.1,Nitrosotalea sp001920395
GCA_002011075.1,JdFR-13 sp002011075
GCA_002011085.1,JDFR-14 sp002011085
GCA_002495315.1,UBA141 sp002495315
GCA_002495905.1,UBA57 sp002495905
GCA_002499005.1,UBA164 sp002499005
GCA_002499525.1,Nitrosotenuis sp002499525
GCA_002501845.1,Nitrososphaera sp002501845
GCA_002501855.1,Nitrosopolaris nunavutensis
GCA_002506605.1,UBA164 sp002506605
GCA_002693165.1,UBA57 sp002693165
GCA_002713205.1,UBA57 sp002713205
GCA_002713325.1,UBA213 sp002713325
GCA_002737445.1,Nitrosarchaeum sp002737445
GCA_002781805.1,Nitrosarchaeum_A sp002781805
GCA_002898655.1,Nitrosocaldus sp002898655
GCA_003135575.1,BOG-1369 sp003135575
GCA_003164815.1,BOG-1369 sp003164815
GCA_003176995.1,Nitrosopolaris wilkensis
GCA_003331425.1,Nitrosopumilus sp002690535
GCA_003352285.1,PXYB01 sp003352285
GCA_003569705.1,Nitrosarchaeum sp003569705
GCA_003724275.1,Cenarchaeum sp003724275
GCA_004297665.1,Nitrosarchaeum sp004297665
GCA_005798405.1,Nitrosarchaeum sp005798405
GCA_005877075.1,TA-21 sp005877075
GCA_005877185.1,TA-13 sp005877185
GCA_005877225.1,TA-13 sp005877225
GCA_005877305.1,TA-20 sp005877305
GCA_005877345.1,TA-21 sp005877345
GCA_005877365.1,TA-13 sp005877365
GCA_007280335.1,TA-20 sp007280335
GCA_007570915.1,Cenarchaeum sp007570915
GCA_008974855.1,CSP1-1 sp008974855
GCA_009377575.1,TH5896 sp009377575
GCA_009379865.1,Nitrosocosmicus sp009379865
GCA_009665115.1,Nitrosopolaris sp009665115
GCA_009840065.1,VYCS01 sp009840065
GCA_009843815.1,VYCS01 sp009843815
GCA_009903775.1,Conexivisphaera sp009903775
GCA_009903795.1,UBA164 sp009903795
GCA_010028495.1,Nitrosotenuis sp010028495
GCA_011043415.1,B109-G9 sp003661505
GCA_011055585.1,DRGT01 sp011055585
GCA_011523285.1,WTHC01 sp011523285
GCA_011605775.1,JAAOZN01 sp011605775
GCA_011773785.1,JACEMX01 sp011773785
GCA_013114715.1,Nitrososphaera sp013114715
GCA_013114725.1,QCWD01 sp013114725
GCA_013287585.1,TA-20 sp013287585
GCA_013288145.1,CADDZS01 sp013288145
GCA_013288545.1,Nitrosotalea sp013288545
GCA_013306035.1,UBA57 sp002494565
GCA_013330055.1,UBA8516 sp8516u
GCA_013378385.1,UBA57 sp013378385
GCA_013388925.1,JACAEJ01 sp013388925
GCA_013388945.1,Nitrososphaera sp013388945
GCA_013390375.1,Nitrosopelagicus sp000484935
GCA_013390745.1,Nitrosopelagicus sp013390745
GCA_013390785.1,Nitrosopelagicus sp013390785
GCA_013390905.1,Nitrosopumilus sp013390905
GCA_013538675.1,Nitrosocaldus tengchongensis
GCA_013538715.1,Nitrosothermus koennekii
GCA_013538805.1,Nitrosocaldus schleperae
GCA_013694585.1,Nitrosocosmicus sp013694585
GCA_013821245.1,Nitrosocosmicus sp013821245
GCA_013867335.1,JACEMX01 sp013867335
GCA_014075315.1,Nitrosopumilus sp014075315
GCA_014361085.1,JACIWG01 sp014361085
GCA_014381105.1,TA-21 sp014381105
GCA_014523485.1,TH1177 sp014523485
GCA_014523495.1,TA-21 sp014523495
GCA_014523515.1,TH1177 sp014523515
GCA_014523525.1,TA-21 sp014523525
GCA_014523595.1,TA-21 sp014523595
GCA_014523625.1,TH5896 sp014523625
GCA_014523665.1,TH5896 sp014523665
GCA_014523685.1,TH5893 sp014523685
GCA_014523695.1,TH5896 sp014523695
GCA_014874415.1,UBA183 sp014874415
GCA_015522055.1,WAMZ01 sp015522055
GCA_015522695.1,WALT01 sp015522695
GCA_015523545.1,SZUA-1514 sp015523545
GCA_015523605.1,SZUA-1514 sp015523605
GCA_015523725.1,WAMZ01 sp015523725
GCA_015661745.1,SZUA-1514 sp015661745
GCA_016126025.1,VYCS01 sp016126025
GCA_016176745.1,VHBM01 sp016176745
GCA_016180375.1,JACPBJ01 sp016180375
GCA_016184315.1,JACQRY01 sp016184315
GCA_016190055.1,JACPRH01 sp016190055
GCA_016193005.1,JACPTA01 sp016193005
GCA_016200025.1,UBA183 sp016200025
GCA_016200035.1,JACQFM01 sp016200035
GCA_016200045.1,UBA183 sp016200045
GCA_016201435.1,TA-20 sp016201435
GCA_016206275.1,JACQRY01 sp016206275
GCA_016276965.1,CSP1-1 sp016276965
GCA_016432545.1,UBA183 sp016432545
GCA_016782225.1,Nitrosocosmicus sp016782225
GCA_016782315.1,Nitrosocosmicus sp016782315
GCA_016838795.1,DRGT01 sp016838795
GCA_016838825.1,JAEHKU01 sp016838825
GCA_016838845.1,DRGT01 sp016838845
GCA_016871975.1,VHBM01 sp016871975
GCA_016871995.1,VHBL01 sp016871995
GCA_016872015.1,Nitrosotenuis sp016872015
GCA_016872055.1,Nitrosotenuis sp016872055
GCA_018334095.1,Nitrosarchaeum sp018334095
GCA_018647405.1,Nitrosopelagicus sp018647405
GCA_018657375.1,Nitrosopumilus sp018657375
GCA_018674605.1,Nitrosopumilus sp018674605
GCA_018691945.1,Nitrosopelagicus sp018691945
GCA_019246625.1,JAFAQB01 sp019246625
GCA_020027255.1,WTHC01 sp020027255
GCA_020027325.1,Cenarchaeum sp020027325
GCA_020027365.1,JAHRAJ01 sp020027365
GCA_020431985.1,Nitrosarchaeum_A sp020431985
GCA_021155845.1,JAJNBK01 sp021155845
GCA_021162925.1,JAGGXQ01 sp021162925
