query	target	qlen	tlen	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
NZ_CP011097.1_252	WP_048186919.1@GCF_000955905.1	728	727	1.000	727	0	1	727	1	727	0.000E+00	1780
NZ_WSZK01000006.1_116	WP_158203062.1@GCF_009791395.1	305	304	1.000	304	0	1	304	1	304	2.410E-246	763
NZ_CP044523.1_2509	WP_158057723.1@GCF_008831545.1	303	302	1.000	302	0	1	302	1	302	5.504E-241	747
JAATVP010000001.1_1	JAATVP010000001.1_1@GCA_014523625.1	403	403	1.000	402	0	1	402	1	402	2.863E-317	976
CP046181.1_1955	QMU55107.1@GCA_014075315.1	251	250	1.000	250	0	1	250	1	250	1.682E-193	607
REGH01000011.1_25	WP_012215345.1@GCF_000018465.1	251	250	0.964	250	9	1	250	1	250	4.749E-185	583
JAGXTE010000058.1_180	MBS3926628.1@GCA_018334095.1	252	251	1.000	251	0	1	251	1	251	1.815E-189	596
NZ_AQXI01000001.1_32	WP_007978241.1@GCF_000376445.1	300	299	1.000	299	0	1	299	1	299	5.606E-243	752
CP071596.1_2809	CP071596.1_2809@GCA_017357105.2	304	304	1.000	303	0	1	303	1	303	1.010E-248	769
NZ_PEND01000007.1_228	WP_101297784.1@GCF_002844195.1	292	291	1.000	291	0	1	291	1	291	1.788E-234	727
NZ_CP035425.1_1785	WP_012215345.1@GCF_000018465.1	251	250	0.936	250	16	1	250	1	250	2.027E-179	567
NZ_SOSC01000006.1_40	WP_136717420.1@GCF_005049285.1	309	308	1.000	308	0	1	308	1	308	8.449E-244	756
NZ_WUUT01000004.1_56	WP_159764234.1@GCF_009831575.1	330	329	1.000	329	0	1	329	1	329	7.981E-267	824
JAKBAE010000044.1_2	JAKBAE010000044.1_2@GCA_021809325.1	289	289	1.000	288	0	1	288	1	288	2.391E-227	707
JOSY01000033.1_31	KFM15989.1@GCA_000746765.1	251	250	1.000	250	0	1	250	1	250	1.120E-191	602
DAMC01000085.1_10	DAMC01000085.1_10@GCA_002499525.1	260	260	1.000	259	0	1	259	1	259	3.831E-197	618
NZ_JAAAJC010000002.1_88	WP_160134101.1@GCF_009900715.1	305	304	1.000	304	0	1	304	1	304	3.531E-246	762
NZ_BMPD01000001.1_190	WP_229775193.1@GCF_014647415.1	307	306	1.000	306	0	1	306	1	306	6.286E-241	748
NZ_AOLW01000046.1_30	WP_228841785.1@GCF_001485575.1	307	306	0.934	306	20	1	306	1	306	5.075E-226	706
JAATVR010000490.1_11	JAATVR010000490.1_11@GCA_014523665.1	370	370	1.000	369	0	1	369	1	369	9.191E-293	902
NZ_CP058335.1_3807	WP_178335851.1@GCF_013391105.1	290	289	1.000	289	0	1	289	1	289	4.136E-230	715
JADDOW010000025.1_5	JADDOW010000025.1_5@GCA_016782225.1	363	363	1.000	362	0	1	362	1	362	5.406E-292	899
NZ_CP101156.1_1333	WP_254810097.1@GCF_024298845.1	304	303	1.000	303	0	1	303	1	303	2.168E-248	768
JAATVS010000204.1_2	JAATVS010000204.1_2@GCA_014523695.1	405	405	1.000	404	0	1	404	1	404	8.384E-321	986
WVWY01000007.1_5	NIP09324.1@GCA_011773785.1	252	251	1.000	251	0	1	251	1	251	1.273E-191	602
NZ_KB913017.1_1888	WP_006087753.1@GCF_000383975.1	296	295	1.000	295	0	1	295	1	295	6.916E-240	743
NC_010085.1_1039	WP_012215345.1@GCF_000018465.1	251	250	1.000	250	0	1	250	1	250	3.518E-191	600
JAATVT010000096.1_7	JAATVT010000096.1_7@GCA_014523685.1	359	359	1.000	358	0	1	358	1	358	9.512E-287	884
NZ_CP044523.1_1798	WP_158057020.1@GCF_008831545.1	300	299	1.000	299	0	1	299	1	299	1.783E-243	754
JACATG010000004.1_59	NWK13753.1@GCA_013390905.1	251	250	1.000	250	0	1	250	1	250	7.546E-191	599
NZ_CP100355.1_2579	WP_254156681.1@GCF_024204665.1	304	303	1.000	303	0	1	303	1	303	1.010E-248	769
PXRX01000012.1_63	PSQ18592.1@GCA_003023195.1	324	323	1.000	323	0	1	323	1	323	1.709E-267	825
NZ_CBTY010000008.1_448	WP_048195825.1@GCF_000723185.1	259	258	1.000	258	0	1	258	1	258	4.937E-197	618
JADKAQ010000016.1_53	MBK9409592.1@GCA_016719105.1	502	482	0.997	482	1	20	501	1	482	0.000E+00	1131
NZ_CSTE01000002.1_1319	WP_089778894.1@GCF_001368915.1	291	290	1.000	290	0	1	290	1	290	1.497E-230	716
NZ_ML974134.1_11	WP_132057481.1@GCF_004143485.2	302	301	1.000	301	0	1	301	1	301	1.539E-241	749
NZ_QQTY01000001.1_59	WP_121740820.1@GCF_003670115.1	303	302	1.000	302	0	1	302	1	302	3.945E-245	759
WHTU01000034.1_34	MPZ07116.1@GCA_009377575.1	358	357	1.000	357	0	1	357	1	357	7.823E-282	870
VXON01000101.1_7	MYB46891.1@GCA_009840065.1	247	250	0.995	246	1	1	246	5	250	1.366E-187	590
REGK01000001.1_23	WP_012215345.1@GCF_000018465.1	251	250	0.968	250	8	1	250	1	250	3.289E-186	586
BFAR01000126.1_9	GBF24584.1@GCA_008974855.1	261	260	1.000	260	0	1	260	1	260	1.386E-197	620
NZ_RDFA01000001.1_291	WP_129067199.1@GCF_004118325.1	295	294	1.000	294	0	1	294	1	294	6.004E-239	740
JAGQHF010000113.1_2	MCA9812424.1@GCA_020431985.1	251	250	1.000	250	0	1	250	1	250	2.371E-190	598
NZ_JANHAU010000004.1_32	WP_256300310.1@GCF_024464185.1	297	296	1.000	296	0	1	296	1	296	1.750E-242	751
NZ_CP031310.1_2084	WP_049994777.1@GCF_004799665.1	309	308	1.000	308	0	1	308	1	308	6.439E-253	782
NZ_CP085335.1_888	WP_227376032.1@GCF_020618475.1	299	298	1.000	298	0	1	298	1	298	2.294E-243	753
NZ_JANJYH010000006.1_64	WP_257300007.1@GCF_024609245.1	298	297	1.000	297	0	1	297	1	297	1.992E-242	751
NZ_CP100454.1_2787	WP_254543733.1@GCF_024228315.1	303	302	1.000	302	0	1	302	1	302	8.061E-241	747
JAJNBK010000116.1_1	MCD6037093.1@GCA_021155845.1	367	363	1.000	363	0	4	366	1	363	1.784E-285	882
JAKAJY010000012.1_2	WP_048187716.1@GCF_000955905.1	250	249	0.939	249	15	1	249	1	249	2.458E-175	556
JAKUOP010000009.1_25	MCH2604145.1@GCA_022450565.1	206	205	1.000	205	0	1	205	1	205	2.089E-153	488
CP094974.1_1262	CP094974.1_1262@GCA_022869805.1	423	423	1.000	422	0	1	422	1	422	0.000E+00	1087
QNGA01000004.1_66	RBI60989.1@GCA_003298465.1	303	302	1.000	302	0	1	302	1	302	3.898E-244	756
JACENB010000156.1_4	WP_012215345.1@GCF_000018465.1	251	250	0.960	250	10	1	250	1	250	6.856E-184	580
DRGT01000093.1_15	HEU04432.1@GCA_011055585.1	252	251	1.000	251	0	1	251	1	251	3.945E-190	597
JAHELB010000056.1_2	JAHELB010000056.1_2@GCA_024644385.1	252	252	1.000	251	0	1	251	1	251	5.778E-190	597
NZ_FOCX01000003.1_337	WP_139203432.1@GCF_900110215.1	243	242	1.000	242	0	1	242	1	242	1.819E-190	597
JADJWG010000004.1_341	MBK9121035.1@GCA_016716475.1	479	491	1.000	478	0	1	478	14	491	0.000E+00	1195
NZ_CP019067.1_3156	WP_077207559.1@GCF_001989615.1	296	295	1.000	295	0	1	295	1	295	2.097E-236	733
RHFA01000128.1_4	RNJ72369.1@GCA_003724275.1	259	258	1.000	258	0	1	258	1	258	4.481E-190	598
JAKCFJ010000001.1_2967	JAKCFJ010000001.1_2967@GCA_025041175.1	315	315	1.000	314	0	1	314	1	314	6.686E-255	788
WHSX01000035.1_12	WHSX01000035.1_12@GCA_009379865.1	392	392	1.000	391	0	1	391	1	391	9.701E-314	964
JAFEGL010000003.1_117	MBS0624539.1@GCA_018239895.1	298	297	1.000	297	0	1	297	1	297	3.926E-235	730
LKML01000024.1_26	LKML01000024.1_26@GCA_001563795.1	295	295	1.000	294	0	1	294	1	294	5.371E-230	715
NZ_AOLI01000034.1_29	WP_007545272.1@GCF_000336955.1	291	290	1.000	290	0	1	290	1	290	6.805E-229	712
NZ_JANHDP010000001.1_573	WP_256391121.1@GCF_024494695.1	280	279	1.000	279	0	1	279	1	279	1.069E-225	701
JADNRU010000010.1_18	KAG0511694.1@GCA_016276965.1	255	254	1.000	254	0	1	254	1	254	4.167E-194	609
JAKCFJ010000003.1_583	JAKCFJ010000003.1_583@GCA_025041175.1	461	461	1.000	460	0	1	460	1	460	0.000E+00	1154
SCUP01000321.1_12	TAK16252.1@GCA_004297665.1	252	251	1.000	251	0	1	251	1	251	1.239E-189	596
NZ_SOSC01000003.1_140	WP_136716585.1@GCF_005049285.1	287	286	1.000	286	0	1	286	1	286	4.161E-231	717
NZ_CP044523.1_2277	WP_158057523.1@GCF_008831545.1	307	306	1.000	306	0	1	306	1	306	2.968E-242	752
NZ_JALXFV010000002.1_324	WP_250872200.1@GCF_023699475.1	305	304	1.000	304	0	1	304	1	304	3.488E-245	759
JABGTD010000004.1_37	MBT3474036.1@GCA_018647405.1	253	252	1.000	252	0	1	252	1	252	3.102E-191	601
NZ_CP017922.1_580	WP_148685665.1@GCF_001870125.1	374	373	1.000	373	0	1	373	1	373	5.230E-298	918
NZ_RDFA01000002.1_230	WP_129068132.1@GCF_004118325.1	322	321	1.000	321	0	1	321	1	321	5.383E-257	795
ARWO01000032.1_136	ARWO01000032.1_136@GCA_000402075.1	251	251	1.000	250	0	1	250	1	250	3.563E-192	603
ML241305.1_276	ML241305.1_276@GCA_005239435.1	304	304	1.000	303	0	1	303	1	303	3.028E-244	757
NZ_CP017922.1_615	WP_148685693.1@GCF_001870125.1	376	375	1.000	375	0	1	375	1	375	1.031E-300	926
NZ_LOPW02000001.1_77	WP_058565839.1@GCF_001469875.2	291	290	1.000	290	0	1	290	1	290	2.247E-232	721
