query	target	taxid	taxname	taxlineage	fident	alnlen	tstart	tend	tlen	evalue	bits	qtmscore	rmsd
hydrolase_2090_AF3.cif	AF-A0A1H7H3G6-F1-model_v4	302484	Haloferax larsenii	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax larsenii	0.996	290	1	290	290	1.936E-52	2050	9.076E-01	7.103E+00
hydrolase_2090_AF3.cif	AF-M0GTD3-F1-model_v4	1227460	Haloferax larsenii JCM 13917	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax larsenii;-_Haloferax larsenii JCM 13917	0.982	290	1	290	290	3.457E-51	2030	9.161E-01	6.426E+00
hydrolase_2090_AF3.cif	AF-M0HUC4-F1-model_v4	1230453	Haloferax elongans ATCC BAA-1513	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax elongans;-_Haloferax elongans ATCC BAA-1513	0.937	273	1	273	273	1.118E-47	1958	9.026E-01	3.706E+00
hydrolase_2090_AF3.cif	AF-M0I6U3-F1-model_v4	662479	Haloferax mucosum ATCC BAA-1512	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax mucosum;-_Haloferax mucosum ATCC BAA-1512	0.755	290	1	290	290	8.670E-46	1823	9.153E-01	6.138E+00
hydrolase_2090_AF3.cif	AF-A0A371N295-F1-model_v4	2077205	Haloferax sp. Atlit-6N	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. Atlit-6N	0.724	290	1	290	290	2.685E-45	1816	9.323E-01	3.595E+00
hydrolase_2090_AF3.cif	AF-M0GNP6-F1-model_v4	1227461	Haloferax prahovense DSM 18310	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax prahovense;-_Haloferax prahovense DSM 18310	0.720	290	1	290	290	2.266E-45	1813	9.283E-01	3.788E+00
hydrolase_2090_AF3.cif	AF-A0A371LCK8-F1-model_v4	2077201	Haloferax sp. Atlit-19N	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. Atlit-19N	0.717	290	1	290	290	5.922E-45	1804	9.346E-01	3.449E+00
hydrolase_2090_AF3.cif	AF-A0A2P4NW45-F1-model_v4	1544719	Haloferax marisrubri	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;s_Haloferax marisrubri	0.720	290	1	290	290	9.308E-45	1800	9.359E-01	3.643E+00
hydrolase_2090_AF3.cif	AF-A0A371LK82-F1-model_v4	2077202	Haloferax sp. Atlit-16N	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. Atlit-16N	0.720	290	1	290	290	6.631E-45	1798	9.361E-01	3.203E+00
hydrolase_2090_AF3.cif	AF-A0A371M0N6-F1-model_v4	2077206	Haloferax sp. Atlit-4N	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Stenosarchaea group;c_Halobacteria;o_Haloferacales;f_Haloferacaceae;g_Haloferax;-_unclassified Haloferax;s_Haloferax sp. Atlit-4N	0.724	290	1	290	290	8.796E-45	1782	9.285E-01	3.726E+00
