user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Pontibacillus_PV1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__BH030062;g__Pontibacillus;s__Pontibacillus yanchengensis	GCF_000770635.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__BH030062;g__Pontibacillus;s__Pontibacillus yanchengensis	96.93	0.839	GCF_000770635.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__BH030062;g__Pontibacillus;s__Pontibacillus yanchengensis	96.93	0.839	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__BH030062;g__Pontibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009856295.1, s__Pontibacillus yanchengensis_A, 95.0, 87.56, 0.531	92.06	11	N/A	N/A
Pontibacillus_SL1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__BH030062;g__Pontibacillus;s__	N/A	N/A	N/A	N/A	N/A	GCF_009858175.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__BH030062;g__Pontibacillus;s__Pontibacillus sp009858175	91.77	0.775	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__BH030062;g__Pontibacillus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000425225.1, s__Pontibacillus marinus, 95.0, 90.02, 0.748	92.15	11	0.99715	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Pontibacillus_SP9-4	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__BH030062;g__Pontibacillus;s__	N/A	N/A	N/A	N/A	N/A	GCF_009858175.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__BH030062;g__Pontibacillus;s__Pontibacillus sp009858175	91.77	0.773	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_D;f__BH030062;g__Pontibacillus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000425225.1, s__Pontibacillus marinus, 95.0, 90.02, 0.747	92.15	11	0.99715	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
