query	target	evalue	bits	tstart	tend	taxlineage
pgaptmp_002090_1	NZ_AOLI01000034.1_29	7.391E-185	581	1	290	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax larsenii
pgaptmp_002090_1	NZ_AOLK01000012.1_176	5.303E-175	552	1	289	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax elongans
pgaptmp_002090_1	NZ_AOLN01000018.1_554	2.454E-141	455	1	290	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax mucosum
pgaptmp_002090_1	NC_017941.2_785	3.791E-139	449	1	290	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax mediterranei
pgaptmp_002090_1	NZ_AOLJ01000011.1_106	5.312E-136	440	1	290	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax gibbonsii
pgaptmp_002090_1	NZ_LOEP01000032.1_74	4.818E-135	437	1	290	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax sp001482285
pgaptmp_002090_1	NZ_AOLG01000009.1_386	6.602E-135	437	1	290	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax prahovense
pgaptmp_002090_1	NZ_LOPW02000001.1_77	1.698E-134	436	1	290	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax marisrubri
pgaptmp_002090_1	NZ_CSTE01000002.1_1319	6.246E-128	417	1	290	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Haloferax;s_Haloferax massiliensis
pgaptmp_002090_1	NZ_FOTC01000002.1_374	2.717E-110	366	4	293	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haloferacaceae;g_Halogranum;s_Halogranum rubrum
pgaptmp_002090_1	NZ_AQXI01000001.1_33	7.302E-101	338	5	290	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haladaptataceae;g_Haladaptatus;s_Haladaptatus paucihalophilus
pgaptmp_002090_1	NZ_JAJFAY010000001.1_1298	1.254E-96	326	6	290	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haladaptataceae;g_Haladaptatus;s_Haladaptatus sp021083305
pgaptmp_002090_1	NZ_LWHG01000021.1_274	6.043E-96	324	5	292	d_Archaea;p_Halobacteriota;c_Halobacteria;o_Halobacteriales;f_Haladaptataceae;g_Haladaptatus;s_Haladaptatus sp001625445
