protein_id,signal_peptide,probability,cleavage_site,cleavage_site_prob
gnl|extdb|pgaptmp_002090_1,Tat/SPI,1.000016,29-30,0.889161
protein_id,signal_peptide,probability,cleavage_site,cleavage_site_prob
pgaptmp_002090_1,Tat/SPI,1.000018,29-30,0.889167
E7QUV3,Tat/SPI,0.999799,39-40,0.900802
LKML01000024.1_26@GCA_001563795.1,Tat/SPI,0.906850,48-49,0.752827
WP_155119940.1@GCF_001280425.1,Tat/SPI,0.969357,41-42,0.467277
A0A1I4ECI6,Tat/SPI,1.000005,31-32,0.517311
NZ_AOLW01000046.1_30,Tat/SPI,0.992229,41-42,0.532614
JAKCFM010000001.1_752@GCA_025041195.1,Tat/SPI,0.931857,41-42,0.615575
A0A371LK82,Tat/SPI,0.999972,29-30,0.911963
WP_148685693.1@GCF_001870125.1,Sec/SPI,0.973514,30-31,0.918058
WP_083893876.1@GCF_000337515.1,Tat/SPI,0.999853,41-42,0.900054
NZ_CP084469.1_3577,Tat/SPI,0.983370,59-60,0.850712
WP_254269963.1@GCF_024218795.1,Tat/SPI,0.999985,30-31,0.924087
WP_158057723.1@GCF_008831545.1,Tat/SPI,0.999985,31-32,0.920927
NC_015948.1_2374,Tat/SPI,0.992229,41-42,0.532614
NZ_BMPD01000001.1_190,Tat/SPI,0.985070,41-42,0.574033
A0A1H6RWL0,Tat/SPI,0.802860,42-43,0.382614
A0A6G3ZKK6,Tat/SPI,0.999973,31-32,0.913893
A0A371N295,Tat/SPI,0.999981,28-29,0.918478
NZ_SOSC01000001.1_299,Tat/SPI,0.999970,27-28,0.920414
WP_227130723.1@GCF_020567525.1,Tat/SPI,0.993939,43-44,0.893008
NZ_CP035119.1_1985,Tat/SPI,0.990747,45-46,0.905170
WP_227228331.1@GCF_020567425.1,Tat/SPI,0.997131,43-44,0.877997
JAKCFJ010000003.1_583@GCA_025041175.1,Tat/SPI,0.999979,25-26,0.924292
NZ_AOLW01000036.1_19,Tat/SPI,0.752137,32-33,0.308730
WP_135851677.1@GCF_004765815.2,Tat/SPI,0.999995,31-32,0.920456
A0A6B0GHB1,Tat/SPI,0.999986,31-32,0.901593
A0A1G9TW67,Tat/SPI,0.999540,43-44,0.882261
A0A6B0GHS1,Tat/SPI,0.999967,34-35,0.916931
L0IC65,Tat/SPI,0.999918,41-42,0.901504
WP_254810097.1@GCF_024298845.1,Tat/SPI,0.999239,44-45,0.896640
A0A0D6JRZ7,Tat/SPI,1.000003,28-29,0.915679
NZ_CP096658.1_2442,Tat/SPI,0.999977,31-32,0.920569
NZ_CP101458.1_1831,Tat/SPI,0.974475,48-49,0.859709
WP_256391121.1@GCF_024494695.1,Tat/SPI,0.999987,26-27,0.932914
WP_254768748.1@GCF_024296665.1,Tat/SPI,0.982735,44-45,0.857214
WP_257300007.1@GCF_024609245.1,Tat/SPI,0.999619,43-44,0.898846
NZ_RDFA01000002.1_66,Tat/SPI,0.999620,43-44,0.871617
NZ_JANHDJ010000005.1_256,Tat/SPI,0.714267,39-40,0.389281
JAKCFM010000002.1_30@GCA_025041195.1,Tat/SPI,0.935432,22-23,0.798853
NZ_CP095487.1_324,Tat/SPI,0.903523,67-68,0.778314
WP_247415690.1@GCF_023074835.1,Tat/SPI,0.999989,31-32,0.924045
NZ_CP100000.1_3638,Tat/SPI,0.999980,31-32,0.904728
WP_077207559.1@GCF_001989615.1,Tat/SPI,0.999985,39-40,0.860372
L9YW73,Tat/SPI,0.977584,48-49,0.792049
A0A1G7U6M7,Tat/SPI,0.999879,43-44,0.882342
WP_225307709.1@GCF_008729015.1,Tat/SPI,0.936785,41-42,0.598103
A0A8J8Q722,Tat/SPI,0.999994,28-29,0.932039
NZ_JAAOIR010000004.1_201,Tat/SPI,0.999839,37-38,0.900727
WP_132058388.1@GCF_004143485.2,Tat/SPI,0.999498,40-41,0.907549
WP_248907845.1@GCF_023276375.1,Tat/SPI,0.999998,34-35,0.488299
E7QRC8,Tat/SPI,0.999982,31-32,0.919495
WP_129115263.1@GCF_004116405.1,Tat/SPI,0.999987,30-31,0.896777
JAKCFJ010000001.1_2967@GCA_025041175.1,Tat/SPI,0.942932,49-50,0.820897
WP_253737567.1@GCF_024178165.1,Tat/SPI,0.772587,47-48,0.472824
A0A1M6QHW3,Tat/SPI,0.999959,30-31,0.919467
A0A166S7I3,Tat/SPI,0.995563,42-43,0.856227
WP_121740820.1@GCF_003670115.1,Tat/SPI,0.996473,44-45,0.887047
PXSA01000026.1_2,Tat/SPI,0.999988,26-27,0.950160
A0A498KX20,Tat/SPI,0.985811,44-45,0.852199
A0A2R6JQA9,Tat/SPI,0.974824,52-53,0.861068
CP094974.1_1262@GCA_022869805.1,Tat/SPI,0.988029,50-51,0.874061
