DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,2090 homologs
COLOR,#d55e00
FIELD_SHAPES,1
FIELD_LABELS,Homolog of hydrolase 2090
FIELD_COLORS,#000075
LEGEND_COLORS,#000075
LEGEND_LABELS,Homolog of hydrolase 2090
LEGEND_SHAPES,1
LEGEND_TITLE,Homolog of hydrolase 2090
MARGIN,5
WIDTH,20
BORDER_WIDTH,0.0
SYMBOL_SPACING,10
HEIGHT_FACTOR,1
DATA
GCA_000200715.1,1
GCA_000204585.1,1
GCA_000402075.1,1
GCA_000746765.1,1
GCA_001437625.1,-1
GCA_001443365.1,1
GCA_001627235.1,1
GCA_001917995.1,-1
GCA_001920395.1,-1
GCA_002011075.1,-1
GCA_002011085.1,-1
GCA_002495315.1,-1
GCA_002495905.1,-1
GCA_002499005.1,-1
GCA_002499525.1,1
GCA_002501845.1,-1
GCA_002501855.1,-1
GCA_002506605.1,-1
GCA_002693165.1,-1
GCA_002713205.1,-1
GCA_002713325.1,-1
GCA_002737445.1,-1
GCA_002781805.1,-1
GCA_002898655.1,-1
GCA_003135575.1,-1
GCA_003164815.1,-1
GCA_003176995.1,-1
GCA_003331425.1,1
GCA_003352285.1,1
GCA_003569705.1,1
GCA_003724275.1,1
GCA_004297665.1,1
GCA_005798405.1,1
GCA_005877075.1,-1
GCA_005877185.1,-1
GCA_005877225.1,-1
GCA_005877305.1,-1
GCA_005877345.1,-1
GCA_005877365.1,-1
GCA_007280335.1,-1
GCA_007570915.1,1
GCA_008974855.1,1
GCA_009377575.1,1
GCA_009379865.1,1
GCA_009665115.1,-1
GCA_009840065.1,-1
GCA_009843815.1,1
GCA_009903775.1,-1
GCA_009903795.1,-1
GCA_010028495.1,-1
GCA_011043415.1,-1
GCA_011055585.1,1
GCA_011523285.1,-1
GCA_011605775.1,-1
GCA_011773785.1,1
GCA_013114715.1,-1
GCA_013114725.1,-1
GCA_013287585.1,-1
GCA_013288145.1,-1
GCA_013288545.1,-1
GCA_013306035.1,-1
GCA_013330055.1,-1
GCA_013378385.1,-1
GCA_013388925.1,-1
GCA_013388945.1,-1
GCA_013390375.1,1
GCA_013390745.1,1
GCA_013390785.1,1
GCA_013390905.1,1
GCA_013538675.1,-1
GCA_013538715.1,-1
GCA_013538805.1,-1
GCA_013694585.1,-1
GCA_013821245.1,1
GCA_013867335.1,1
GCA_014075315.1,1
GCA_014361085.1,-1
GCA_014381105.1,-1
GCA_014523485.1,1
GCA_014523495.1,-1
GCA_014523515.1,-1
GCA_014523525.1,-1
GCA_014523595.1,-1
GCA_014523625.1,1
GCA_014523665.1,1
GCA_014523685.1,1
GCA_014523695.1,1
GCA_014874415.1,-1
GCA_015522055.1,-1
GCA_015522695.1,-1
GCA_015523545.1,-1
GCA_015523605.1,-1
GCA_015523725.1,-1
GCA_015661745.1,-1
GCA_016126025.1,-1
GCA_016176745.1,-1
GCA_016180375.1,-1
