DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,Domain
COLOR,#d55e00
COLOR_BRANCHES,1
SHOW_STRIP_LABELS,0
STRIP_LABEL_COLOR,#ffffff
LEGEND_TITLE,Domain
LEGEND_COLORS,#de8f05,#0173b2
LEGEND_LABELS,Archaea,Bacteria
LEGEND_SHAPES,1,1
MARGIN,0
DATA
A0A075FKQ7,#de8f05,Archaea
A0A075GAR9,#de8f05,Archaea
A0A075GDE7,#de8f05,Archaea
A0A075GE09,#de8f05,Archaea
A0A075GFP7,#de8f05,Archaea
A0A075GH36,#de8f05,Archaea
A0A075GWP7,#de8f05,Archaea
A0A075GXT2,#de8f05,Archaea
A0A075H1J6,#de8f05,Archaea
A0A075H3R4,#de8f05,Archaea
A0A075HBL9,#de8f05,Archaea
A0A075HE99,#de8f05,Archaea
A0A075HF93,#de8f05,Archaea
A0A075HMJ5,#de8f05,Archaea
A0A075HPP9,#de8f05,Archaea
A0A075HUK9,#de8f05,Archaea
A0A075HYC4,#de8f05,Archaea
A0A075I1P8,#de8f05,Archaea
A0A075I3P8,#de8f05,Archaea
A0A075I6D6,#de8f05,Archaea
A0A075I7C4,#de8f05,Archaea
A0A075I8Y5,#de8f05,Archaea
A0A075IB59,#de8f05,Archaea
A0A075IEY5,#de8f05,Archaea
A0A081RPZ9,#de8f05,Archaea
A0A0A7V1B0,#de8f05,Archaea
A0A0B5GHC8,#de8f05,Archaea
A0A0C5BVY9,#de8f05,Archaea
A0A0D5C1K9,#de8f05,Archaea
A0A0D6JRZ7,#de8f05,Archaea
A0A0K1IR80,#de8f05,Archaea
A0A0M9AR50,#de8f05,Archaea
A0A0N0BPM7,#de8f05,Archaea
A0A0R2NVM4,#de8f05,Archaea
A0A0T5ZCZ3,#de8f05,Archaea
A0A0W1R9H8,#de8f05,Archaea
A0A165LUI8,#de8f05,Archaea
A0A166S7I3,#de8f05,Archaea
A0A166SG65,#de8f05,Archaea
A0A1C7PEI3,#0173b2,Bacteria
A0A1D2QAF5,#de8f05,Archaea
A0A1D2QC66,#de8f05,Archaea
A0A1D2QC87,#de8f05,Archaea
A0A1G7NPL8,#de8f05,Archaea
A0A1G7U6M7,#de8f05,Archaea
A0A1G7U755,#de8f05,Archaea
A0A1G8V2I7,#de8f05,Archaea
A0A1G9TW67,#de8f05,Archaea
A0A1H6RWL0,#de8f05,Archaea
A0A1H7H3G6,#de8f05,Archaea
A0A1H8HD95,#de8f05,Archaea
A0A1H8HEB9,#de8f05,Archaea
A0A1H8N4I1,#de8f05,Archaea
A0A1I4ECI6,#de8f05,Archaea
A0A1I6H827,#de8f05,Archaea
A0A1M6QHW3,#de8f05,Archaea
A0A1N6WQJ8,#de8f05,Archaea
A0A1N6WQR0,#de8f05,Archaea
A0A1N6YR21,#de8f05,Archaea
A0A1Q1FI16,#de8f05,Archaea
A0A1Q1FMJ7,#de8f05,Archaea
A0A1Y3A5X3,#de8f05,Archaea
A0A1Y3AG32,#de8f05,Archaea
A0A238UNT3,#de8f05,Archaea
A0A256J1P2,#de8f05,Archaea
A0A256J8C6,#de8f05,Archaea
A0A285N4T7,#de8f05,Archaea
A0A2A3T0Y3,#de8f05,Archaea
A0A2A3T353,#de8f05,Archaea
A0A2A3TCX4,#de8f05,Archaea
A0A2E0QGV4,#de8f05,Archaea
A0A2E3KFS8,#de8f05,Archaea
A0A2E7RQV6,#de8f05,Archaea
A0A2E9NXF5,#de8f05,Archaea
A0A2G1WTW3,#de8f05,Archaea
A0A2G4JBX9,#de8f05,Archaea
A0A2G9MUG9,#de8f05,Archaea
A0A2H5A2J4,#de8f05,Archaea
A0A2H9R9P5,#de8f05,Archaea
A0A2H9RQQ8,#de8f05,Archaea
A0A2P4NW45,#de8f05,Archaea
A0A2R6GJ55,#de8f05,Archaea
A0A2R6HHF1,#de8f05,Archaea
A0A2R6JQA9,#de8f05,Archaea
A0A2R6KDZ0,#de8f05,Archaea
A0A2R6N584,#de8f05,Archaea
A0A2S2KSG3,#de8f05,Archaea
A0A2V3I8A3,#de8f05,Archaea
A0A2V3IAA3,#de8f05,Archaea
A0A2Z2HKI6,#de8f05,Archaea
A0A365T8R6,#de8f05,Archaea
A0A368B0K9,#de8f05,Archaea
A0A368TZS8,#0173b2,Bacteria
A0A370LUJ7,#de8f05,Archaea
A0A371KGK7,#de8f05,Archaea
A0A371KTK3,#de8f05,Archaea
A0A371L4M6,#de8f05,Archaea
A0A371LCK8,#de8f05,Archaea
A0A371LK82,#de8f05,Archaea
